ticker,tipo,isin,nome,yahoo,mercato
XMK9,etf_promo,LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C - EUR Hedged,XMK9.MI,Borsa Italiana
XMJP,etf_promo,LU0274209740,LU0659580079 Xtrackers MSCI Japan UCITS ETF 4C - EUR Hedged Xtrackers MSCI Japan UCITS ETF 1C,XMJP.MI,Borsa Italiana
XMEX,etf_promo,LU0476289466,Xtrackers MSCI Mexico UCITS ETF 1C,XMEX.MI,Borsa Italiana
XMUS,etf_promo,LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,XMUS.MI,Borsa Italiana
XMWO,etf_promo,LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C,XMWO.MI,Borsa Italiana
XNIF,etf_promo,LU0292109690,Xtrackers Nifty 50 Swap UCITS ETF 1C,XNIF.MI,Borsa Italiana
XQUI,etf_promo,LU0397221945,Xtrackers Portfolio UCITS ETF 1C,XQUI.MI,Borsa Italiana
XSXD,etf_promo,LU2009147757,Xtrackers S&P 500 Swap UCITS ETF 1D,XSXD.MI,Borsa Italiana
XSPX,etf_promo,LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,XSPX.MI,Borsa Italiana
XS5E,etf_promo,LU2196472984,Xtrackers S&P 500 Swap UCITS ETF 5C EUR Hedged,XS5E.MI,Borsa Italiana
XSGI,etf_promo,LU0322253229,Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,XSGI.MI,Borsa Italiana
XSFR,etf_promo,LU0328476410,LU0322253229 Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C Xtrackers S&P Select Frontier Swap UCITS ETF 1C,XSFR.MI,Borsa Italiana
XSX6,etf_promo,LU0328475792,Xtrackers S&P Select Frontier Swap UCITS ETF 1C Xtrackers Stoxx Europe 600 UCITS ETF 1C,XSX6.MI,Borsa Italiana
XSMI,etf_promo,LU0274221281,Xtrackers Stoxx Europe 600 UCITS ETF 1C Xtrackers Switzerland UCITS ETF 1D,XSMI.MI,Borsa Italiana
XCSI,etf_promo,LU2788421340,Xtrackers Switzerland UCITS ETF 1D Xtrackers CSI500 Swap UCITS ETF 1C,XCSI.MI,Borsa Italiana
XCAN,etf_promo,LU0476289540,Xtrackers CSI500 Swap UCITS ETF 1C Xtrackers MSCI Canada ESG Screened UCITS ETF 1C,XCAN.MI,Borsa Italiana
XX25,etf_promo,LU0292109856,Xtrackers FTSE China 50 UCITS ETF 1C,XX25.MI,Borsa Italiana
XMAS,etf_promo,LU0292107991,Xtrackers MSCI EM Asia ESG Screened Swap UCITS ETF,XMAS.MI,Borsa Italiana
XS8R,etf_promo,LU0292104469,Xtrackers MSCI Europe In. T. Sc. UCITS ETF,XS8R.MI,Borsa Italiana
XEUM,etf_promo,LU0322253732,Xtrackers MSCI Europe Screened UCITS ETF,XEUM.MI,Borsa Italiana
XCS5,etf_promo,LU0514695187,Xtrackers MSCI India Swap UCITS ETF 1C,XCS5.MI,Borsa Italiana
XPXJ,etf_promo,LU0322252338,Xtrackers MSCI Pacific ex Japan ESG Screened UCITS ETF 1C,XPXJ.MI,Borsa Italiana
XDJE,etf_promo,LU1875395870,LU0322252338 Xtrackers MSCI Pacific ex Japan ESG Screened UCITS ETF 1C Xtrackers Nikkei 225 UCITS ETF 2D EUR Hedged Securities Lending Transactions,XDJE.MI,Borsa Italiana
XYLD,etf_promo,IE00BF8J5974,Xtrackers Nikkei 225 UCITS ETF 2D EUR Hedged Securities Lending Transactions,XYLD.MI,Borsa Italiana
XZBU,etf_promo,IE00BL58LJ19,Xtrackers USD Corporate Bond SRI PAB UCITS ETF,XZBU.MI,Borsa Italiana
XQUE,etf_promo,IE00BD4DXB77,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 2D - EUR Hedged,XQUE.MI,Borsa Italiana
XQUA,etf_promo,IE00BD4DX952,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 1D,XQUA.MI,Borsa Italiana
XDEP,etf_promo,IE00BYPHT736,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D,XDEP.MI,Borsa Italiana
XAIX,etf_promo,IE00BGV5VN51,IE00BYPHT736 Xtrackers Artificial Intelligence & Big Data UCITS ETF,XAIX.MI,Borsa Italiana
XZEU,etf_promo,IE00BFMNHK08,Xtrackers MSCI Europe ESG UCITS ETF,XZEU.MI,Borsa Italiana
XGBE,etf_promo,IE000MCVFK47,IE00BFMNHK08 Xtrackers MSCI Europe ESG UCITS ETF,XGBE.MI,Borsa Italiana
XMOV,etf_promo,IE00BGV5VR99,Xtrackers Future Mobility UCITS ETF,XMOV.MI,Borsa Italiana
XIGB,etf_promo,IE000QVYFUT7,Xtrackers II India Government Bond UCITS ETF 1C,XIGB.MI,Borsa Italiana
XMME,etf_promo,IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,XMME.MI,Borsa Italiana
XZEM,etf_promo,IE00BG370F43,Xtrackers MSCI Emerging Markets ESG UCITS ETF,XZEM.MI,Borsa Italiana
XFNT,etf_promo,IE000YDOORK7,IE00BG370F43 Xtrackers MSCI Emerging Markets ESG UCITS ETF Xtrackers MSCI Fintech Innovation UCITS ETF 1C,XFNT.MI,Borsa Italiana
XGEN,etf_promo,IE000KD0BZ68,Xtrackers MSCI Genomic Healthcare Innovation UCITS 1C,XGEN.MI,Borsa Italiana
XDG3,etf_promo,IE00036F4K40,IE000KD0BZ68 Xtrackers MSCI Genomic Healthcare Innovation UCITS 1C Xtrackers MSCI Global SDG 3 Good Health UCITS ETF,XDG3.MI,Borsa Italiana
XNNV,etf_promo,IE0006FFX5U1,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF Xtrackers MSCI Innovation UCITS ETF 1C,XNNV.MI,Borsa Italiana
XZMJ,etf_promo,IE00BG36TC12,Xtrackers MSCI Japan ESG UCITS ETF,XZMJ.MI,Borsa Italiana
XNGI,etf_promo,IE000XOQ9TK4,IE00BG36TC12 Xtrackers MSCI Japan ESG UCITS ETF Xtrackers MSCI Next Generation Internet Innovation UCITS ETF 1C,XNGI.MI,Borsa Italiana
XZMU,etf_promo,IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF,XZMU.MI,Borsa Italiana
XZME,etf_promo,IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C – EUR Hedged,XZME.MI,Borsa Italiana
XUTC,etf_promo,IE00BGQYRS42,Xtrackers MSCI USA Information Tech. UCITS ETF 1D,XUTC.MI,Borsa Italiana
XD9U,etf_promo,IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,XD9U.MI,Borsa Italiana
XWTS,etf_promo,IE00BM67HR47,IE00BJ0KDR00 Xtrackers MSCI USA UCITS ETF 1C Xtrackers MSCI World Telecom Services UCITS ETF 1C,XWTS.MI,Borsa Italiana
XDWC,etf_promo,IE00BM67HP23,Xtrackers MSCI World Telecom Services UCITS ETF 1C Xtrackers MSCI World Consumer Discretionary UCITS ETF 1C,XDWC.MI,Borsa Italiana
XDWS,etf_promo,IE00BM67HN09,Xtrackers MSCI World Consumer Discretionary UCITS ETF 1C Xtrackers MSCI World Consumer Staples UCITS ETF 1C,XDWS.MI,Borsa Italiana
XDW0,etf_promo,IE00BM67HM91,Xtrackers MSCI World Energy UCITS ETF 1C,XDW0.MI,Borsa Italiana
XZW0,etf_promo,IE00BZ02LR44,IE00BM67HM91 Xtrackers MSCI World Energy UCITS ETF 1C Xtrackers MSCI World ESG UCITS ETF,XZW0.MI,Borsa Italiana
XZWE,etf_promo,IE00BMY76136,Xtrackers MSCI World ESG UCITS ETF 2C - EUR hedged,XZWE.MI,Borsa Italiana
XDWF,etf_promo,IE00BM67HL84,Xtrackers MSCI World Financials UCITS ETF 1C,XDWF.MI,Borsa Italiana
XDWH,etf_promo,IE00BM67HK77,IE00BM67HL84 Xtrackers MSCI World Financials UCITS ETF 1C Xtrackers MSCI World Health Care UCITS ETF 1C,XDWH.MI,Borsa Italiana
XDWI,etf_promo,IE00BM67HV82,Xtrackers MSCI World Industrials UCITS ETF 1C,XDWI.MI,Borsa Italiana
XDWT,etf_promo,IE00BM67HT60,Xtrackers MSCI World Information Technology UCITS ETF 1C,XDWT.MI,Borsa Italiana
XDWM,etf_promo,IE00BM67HS53,IE00BM67HT60 Xtrackers MSCI World Information Technology UCITS ETF 1C Xtrackers MSCI World Materials UCITS ETF 1C,XDWM.MI,Borsa Italiana
XDEB,etf_promo,IE00BL25JN58,Xtrackers MSCI World Materials UCITS ETF 1C Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,XDEB.MI,Borsa Italiana
XDEM,etf_promo,IE00BL25JP72,Xtrackers MSCI World Minimum Volatility UCITS ETF 1C Xtrackers MSCI World Momentum UCITS ETF 1C,XDEM.MI,Borsa Italiana
XDEQ,etf_promo,IE00BL25JL35,Xtrackers MSCI World Quality UCITS ETF 1C,XDEQ.MI,Borsa Italiana
XDWD,etf_promo,IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,XDWD.MI,Borsa Italiana
XDWU,etf_promo,IE00BM67HQ30,Xtrackers MSCI World Utilities UCITS ETF 1C,XDWU.MI,Borsa Italiana
XDEV,etf_promo,IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C,XDEV.MI,Borsa Italiana
XNAS,etf_promo,IE00BMFKG444,Xtrackers NASDAQ 100 UCITS ETF,XNAS.MI,Borsa Italiana
XS7W,etf_promo,IE00B3Y8D011,Xtrackers Portfolio Income UCITS ETF 1D,XS7W.MI,Borsa Italiana
XRS2,etf_promo,IE00BJZ2DD79,Xtrackers Russell 2000 UCITS ETF 1C,XRS2.MI,Borsa Italiana
XDEE,etf_promo,IE0002EI5AG0,IE00BJZ2DD79 Xtrackers Russell 2000 UCITS ETF 1C Xtrackers S&P 500 Equal Weight UCITS ETF 2C - EUR Hedged,XDEE.MI,Borsa Italiana
XDEW,etf_promo,IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,XDEW.MI,Borsa Italiana
XDPE,etf_promo,IE00BM67HW99,Xtrackers S&P 500 UCITS ETF 1C - EUR Hedged,XDPE.MI,Borsa Italiana
XDGE,etf_promo,IE00BZ036J45,Xtrackers USD Corporate Bond UCITS ETF 2D - EUR Hedged,XDGE.MI,Borsa Italiana
XDGU,etf_promo,IE00BZ036H21,Xtrackers USD Corporate Bond UCITS ETF 1D,XDGU.MI,Borsa Italiana
XUHY,etf_promo,IE00BDR5HM97,Xtrackers USD High Yield Corporate Bond UCITS ETF 1D,XUHY.MI,Borsa Italiana
XMAE,etf_promo,IE000VXC51U5,Xtrackers MSCI AC World ESG Screened UCITS ETF 2C – EUR Hedged,XMAE.MI,Borsa Italiana
XMAW,etf_promo,IE00BGHQ0G80,Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,XMAW.MI,Borsa Italiana
XDEX,etf_promo,IE00BM67HJ62,Xtrackers MSCI Emerging Markets ESG Screened UCITS ETF 1C,XDEX.MI,Borsa Italiana
XDNY,etf_promo,IE00BPVLQD13,IE00BM67HJ62 Xtrackers MSCI Emerging Markets ESG Screened UCITS ETF 1C Xtrackers MSCI Japan ESG Screened UCITS ETF,XDNY.MI,Borsa Italiana
XDNE,etf_promo,IE00BRB36B93,Xtrackers MSCI Japan ESG Screened UCITS ETF Xtrackers MSCI Japan ESG Screened UCITS ETF – EUR Hedged,XDNE.MI,Borsa Italiana
XRME,etf_promo,IE000TSML5I8,Xtrackers MSCI USA ESG Screened UCITS ETF 2C - Eur Hedged,XRME.MI,Borsa Italiana
XRSM,etf_promo,IE00BJZ2DC62,Xtrackers MSCI USA ESG Screened UCITS ETF,XRSM.MI,Borsa Italiana
XWEQ,etf_promo,IE0003NQ0IY5,IE00BJZ2DC62 Xtrackers MSCI USA ESG Screened UCITS ETF Xtrackers MSCI World Quality ESG UCITS ETF 1C Securities Lending Transactions,XWEQ.MI,Borsa Italiana
XDWY,etf_promo,IE00BCHWNQ94,Xtrackers MSCI World ESG Screened UCITS ETF,XDWY.MI,Borsa Italiana
XWEV,etf_promo,IE000LAUZQT6,Xtrackers MSCI World Value ESG UCITS ETF 1C,XWEV.MI,Borsa Italiana
EXUS,etf_promo,IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C Securities Lending Transactions,EXUS.MI,Borsa Italiana
XZEW,etf_promo,IE0004MFRED4,Xtrackers MSCI World ex USA UCITS ETF 1C Securities Lending Transactions Xtrackers S&P 500 Equal Weight ESG UCITS ETF 1C,XZEW.MI,Borsa Italiana
XEWE,etf_promo,IE000IDLWOL4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 2C EUR Hdg,XEWE.MI,Borsa Italiana
XT01,etf_promo,IE00BM97MR69,Xtrackers US Treasuries Ultrashort Bond UCITS ETF 1C,XT01.MI,Borsa Italiana
XZE5,etf_promo,LU2178481649,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF,XZE5.MI,Borsa Italiana
XYP1,etf_promo,LU0925589839,LU2178481649,XYP1.MI,Borsa Italiana
XHYG,etf_promo,LU1109942653,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1D,XHYG.MI,Borsa Italiana
XGII,etf_promo,LU0962078753,Xtrackers II Global Inflation-Linked Bond UCITS ETF 1D - EUR Hedged,XGII.MI,Borsa Italiana
XZEG,etf_promo,LU2385068593,Xtrackers II ESG Global Government Bond UCITS ETF 4D - EUR Hedged,XZEG.MI,Borsa Italiana
XZWG,etf_promo,LU2385068163,Xtrackers II ESG Global Government Bond UCITS ETF 1D,XZWG.MI,Borsa Italiana
XB4F,etf_promo,LU0484968812,Xtrackers II ESG EUR Corporate Bond SRI PAB UCITS ETF 1D,XB4F.MI,Borsa Italiana
XEZB,etf_promo,LU2504537445,Xtrackers II Eurozone Government Bond ESG Tilted UCITS ETF 1D,XEZB.MI,Borsa Italiana
XCS2,etf_promo,LU0494592974,Xtrackers II Australia Government Bond UCITS ETF 1C,XCS2.MI,Borsa Italiana
XBLC,etf_promo,LU0478205379,Xtrackers II EUR Corporate Bond UCITS ETF 1C,XBLC.MI,Borsa Italiana
X15E,etf_promo,LU0290357507,LU0478205379,X15E.MI,Borsa Italiana
X25E,etf_promo,LU0290357846,Xtrackers II Eurozone Government Bond 25+ UCITS ETF 1C,X25E.MI,Borsa Italiana
X35E,etf_promo,LU0290356954,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C,X35E.MI,Borsa Italiana
X57E,etf_promo,LU0290357176,Xtrackers II Eurozone Government Bond 5-7 UCITS ETF 1C,X57E.MI,Borsa Italiana
