isin,nome
IE00BGV5VN51,IE00BYPHT736 Xtrackers Artificial Intelligence & Big Data UCITS ETF
IE00BFMNHK08,Xtrackers MSCI Europe ESG UCITS ETF
IE000MCVFK47,IE00BFMNHK08 Xtrackers MSCI Europe ESG UCITS ETF
IE00BGV5VR99,Xtrackers Future Mobility UCITS ETF
IE000QVYFUT7,Xtrackers II India Government Bond UCITS ETF 1C
IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C
IE00BG370F43,Xtrackers MSCI Emerging Markets ESG UCITS ETF
IE000YDOORK7,IE00BG370F43 Xtrackers MSCI Emerging Markets ESG UCITS ETF Xtrackers MSCI Fintech Innovation UCITS ETF 1C
IE000KD0BZ68,Xtrackers MSCI Genomic Healthcare Innovation UCITS 1C
IE00036F4K40,IE000KD0BZ68 Xtrackers MSCI Genomic Healthcare Innovation UCITS 1C Xtrackers MSCI Global SDG 3 Good Health UCITS ETF
IE0006FFX5U1,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF Xtrackers MSCI Innovation UCITS ETF 1C
IE00BG36TC12,Xtrackers MSCI Japan ESG UCITS ETF
IE000XOQ9TK4,IE00BG36TC12 Xtrackers MSCI Japan ESG UCITS ETF Xtrackers MSCI Next Generation Internet Innovation UCITS ETF 1C
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF
IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C – EUR Hedged
IE00BGQYRS42,Xtrackers MSCI USA Information Tech. UCITS ETF 1D
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C
IE00BM67HR47,IE00BJ0KDR00 Xtrackers MSCI USA UCITS ETF 1C Xtrackers MSCI World Telecom Services UCITS ETF 1C
IE00BM67HP23,Xtrackers MSCI World Telecom Services UCITS ETF 1C Xtrackers MSCI World Consumer Discretionary UCITS ETF 1C
IE00BM67HN09,Xtrackers MSCI World Consumer Discretionary UCITS ETF 1C Xtrackers MSCI World Consumer Staples UCITS ETF 1C
IE00BM67HM91,Xtrackers MSCI World Energy UCITS ETF 1C
IE00BZ02LR44,IE00BM67HM91 Xtrackers MSCI World Energy UCITS ETF 1C Xtrackers MSCI World ESG UCITS ETF
IE00BMY76136,Xtrackers MSCI World ESG UCITS ETF 2C - EUR hedged
IE00BM67HL84,Xtrackers MSCI World Financials UCITS ETF 1C
IE00BM67HK77,IE00BM67HL84 Xtrackers MSCI World Financials UCITS ETF 1C Xtrackers MSCI World Health Care UCITS ETF 1C
IE00BM67HV82,Xtrackers MSCI World Industrials UCITS ETF 1C
IE00BM67HT60,Xtrackers MSCI World Information Technology UCITS ETF 1C
IE00BM67HS53,IE00BM67HT60 Xtrackers MSCI World Information Technology UCITS ETF 1C Xtrackers MSCI World Materials UCITS ETF 1C
IE00BL25JN58,Xtrackers MSCI World Materials UCITS ETF 1C Xtrackers MSCI World Minimum Volatility UCITS ETF 1C
IE00BL25JP72,Xtrackers MSCI World Minimum Volatility UCITS ETF 1C Xtrackers MSCI World Momentum UCITS ETF 1C
