isin,nome
LU1598691217,Amundi Italy BTP Government Bond 10Y UCITS ETF Acc
LU1287023342,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc
LU2356220926,Amundi Euro Government Green Bond UCITS ETF Acc
LU1681046261,Amundi Euro Government Tilted Green Bond UCITS ETF Acc
LU1650488494,Amundi Euro Government Bond 3-5Y UCITS ETF Acc
LU1287023185,Amundi Euro Government Bond 7-10Y UCITS ETF Acc
LU1650489898,Amundi Euro Government Bond 10-15Y UCITS ETF Dist
LU2090062865,Amundi Euro Government Bond 5-7Y UCITS ETF Dist
LU1829219556,Fixed Income
LU1598691050,Amundi Italy BTP Government Bond 1-3Y UCITS ETF Dist
LU1437016204,Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR (C)
LU1708330235,Fixed Income
LU1681041205,Amundi J.P. Morgan USD Emerging Markets Bond UCITS ETF Acc
LU1686830909,Amundi J.P. Morgan USD Emerging Markets Bond UCITS ETF Dist
LU1650491282,Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc
LU1650491795,Amundi Euro Government Inflation-Linked Bond UCITS ETF Dist
LU1437018168,Amundi EUR Corporate Bond ESG UCITS ETF DR (C)
LU1525418643,Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF Acc
LU1681040496,Amundi Euro High Yield Bond ESG UCITS ETF Acc
LU2037748774,Amundi EUR Corporate Bond 0-3Y ESG UCITS ETF DR (C)
LU1617164998,Amundi EUR Short Term High Yield Corporate Bond ESG UCITS ETF Dist
LU1829219127,Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF Acc
LU1829218822,Amundi EUR Corporate Bond ex-Financials ESG UCITS ETF Acc
LU1681039647,Amundi EUR Corporate Bond ESG UCITS ETF 2 DR - EUR (C)
LU1681041114,Amundi EUR Floating Rate Corporate Bond ESG UCITS ETF Acc
LU1215415214,Amundi Euro High Yield Bond ESG UCITS ETF Dist
LU2370241684,Amundi Corporate Proceeds Bond UCITS ETF Acc
LU2099295466,Amundi Global High Yield Corporate Bond ESG UCITS ETF DR - USD (C)
LU1525418726,Amundi Global Corporate Bond 1-5Y ESG UCITS ETF DR (C)
LU1285959703,Amundi USD Corporate Bond Climate Paris Aligned UCITS ETF Dist
LU1681040900,Amundi USD Floating Rate Corporate Bond ESG UCITS ETF Acc
LU1681041031,Amundi USD Floating Rate Corporate Bond ESG UCITS ETF EUR Hedged Acc
LU1435356149,Amundi USD High Yield Corporate Bond ESG UCITS ETF Dist
LU1806495575,Amundi USD Corporate Bond ESG UCITS ETF DR (C)
LU1285959885,Amundi USD Corporate Bond Climate Paris Aligned UCITS ETF Acc
LU1285960032,Fixed Income
LU1435356065,Amundi USD High Yield Corporate Bond ESG UCITS ETF Acc
LU2182388236,Amundi Euro Aggregate Bond ESG UCITS ETF DR (C)
LU1563454310,Amundi Global Aggregate Green Bond UCITS ETF Acc
LU1563454401,Amundi Global Aggregate Green Bond UCITS ETF Dist
LU1981859819,Amundi Global Aggregate Proceeds Bond 1-10Y UCITS ETF Acc
LU1900069219,Broad Commodities
LU1829218749,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc
DE000ETF7011,Amundi Multi-Asset Portfolio UCITS ETF Dist
DE000ETF7029,Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist
DE000ETF7037,Amundi Multi-Asset Portfolio Offensive UCITS ETF Dist
IE00085PWS28,Amundi MSCI World Ex USA UCITS ETF Acc
IE0009BI8Z04,Amundi MSCI World Ex USA UCITS ETF Dist
IE0001GSQ2O9,Amundi MSCI World ESG Broad Transition UCITS ETF Acc
LU2572257124,Amundi MSCI World III UCITS ETF Dist
LU1681043672,Amundi MSCI World UCITS ETF - USD (C)
LU2655993207,Amundi MSCI World UCITS ETF - EUR (D)
LU1829220133,Amundi MSCI All Country World UCITS ETF USD Acc
IE000KYX7IP4,Amundi S&P World Financials Screened UCITS ETF Acc
LU1681046188,Amundi Global Bioenergy UCITS ETF USD Acc
LU1861132840,Amundi MSCI Robotics & AI UCITS ETF Acc
LU2090063327,Amundi MSCI Semiconductors UCITS ETF Dist
LU2037748345,Amundi MSCI Smart Cities UCITS ETF ACC
LU1681037518,Amundi Italy MIB ESG UCITS ETF DR - EUR (C)
LU0908501132,Amundi MSCI EMU ESG Broad Transition UCITS ETF DIST
LU1437015735,Amundi Index MSCI Europe UCITS ETF DR (C)
LU1574142243,Amundi Stoxx Europe 600 UCITS ETF EUR Hedged Dist
LU1681040223,Amundi Stoxx Europe 600 ESG UCITS ETF Acc
LU0959210278,Amundi S&P Eurozone Dividend Aristocrat Screened UCITS ETF Dist
LU2611732558,Amundi Euro Stoxx Select Dividend30 UCITS ETF Dist
LU2611731741,Amundi DIVDAX UCITS ETF Dist
LU3038520774,Amundi Stoxx Europe Defense UCITS ETF Acc
IE000KXCEXR3,Amundi S&P 500 Screened UCITS ETF - Acc
LU2991918421,Amundi S&P 500 Equal Weight UCITS ETF Acc
IE000PEAJOT0,Amundi MSCI USA ESG Selection UCITS ETF Acc
IE0008TKP6O7,Amundi MSCI USA ESG Selection Extra UCITS ETF DR - USD (D)
LU2391437253,Amundi S&P 500 UCITS ETF - USD (D)
IE000IP0UC52,Amundi MSCI USA ESG Selection UCITS ETF Acc EUR Hedged
IE0004TFW0R5,Amundi MSCI USA ESG Selection Extra UCITS ETF ACC EUR Hedged
IE000LAP5Z18,Amundi S&P 500 Equal Weight ESG UCITS ETF Acc
IE000R85HL30,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc
IE000M86QRT4,Amundi S&P 500 Equal Weight ESG UCITS ETF EUR Hedged Acc
IE0000U24AJ9,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged
IE00058B19U6,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc EUR Hedged
LU1954152853,Amundi Nasdaq-100 II UCITS ETF EUR Hedged Acc
IE00058MW3M8,Amundi S&P 500 Screened UCITS ETF - Acc EUR Hedged
IE000XL4IXU1,Amundi MSCI USA Ex Mega Cap UCITS ETF Acc
IE000YBGJ9I4,Amundi MSCI USA Mega Cap UCITS ETF Acc
LU1437017350,Amundi Index MSCI Emerging Markets UCITS ETF DR (C)
LU1737652583,Amundi Index MSCI Emerging Markets UCITS ETF DR (D)
LU1437024729,Amundi Global Aggregate Bond UCITS ETF DR (C)
LU1190417599,Amundi Smart Overnight Return UCITS ETF Acc
LU2082999306,Amundi Smart Overnight Return UCITS ETF Dist
FR0010510800,Amundi EUR Overnight Return UCITS ETF Acc
FR0013416716,AMUNDI PHYSICAL GOLD ETC (C)
LU2872292243,Amundi Lifecycle 2039 UCITS ETF Acc
LU2872292169,Amundi Lifecycle 2036 UCITS ETF Acc
LU2872291948,Amundi Lifecycle 2030 UCITS ETF Acc
LU2872292086,Amundi Lifecycle 2033 UCITS ETF Acc
FR0011758085,Amundi FTSE Italia PMI PIR 2020 UCITS ETF Acc
LU2611731824,Amundi NYSE Arca Gold Bugs UCITS ETF Dist
FR0000021842,Amundi BEL 20 UCITS ETF Dist
LU2611732475,Amundi SDAX UCITS ETF Dist
FR0010435297,Amundi MSCI Emerging Markets III UCITS ETF USD Acc
FR0010375766,Amundi MSCI India II UCITS ETF USD Acc
LU1681043169,Amundi MSCI India UCITS ETF - USD (C)
LU2090063160,Amundi MSCI Eastern Europe Ex Russia UCITS ETF Dist
LU1681044050,Amundi MSCI China Tech UCITS ETF USD
LU0832435464,Amundi S&P 500 VIX Futures Enhanced Roll UCITS ETF Acc
